horizon,rmsle
1,0.3895506683001675
2,0.37888901130938385
3,0.3880503422237742
4,0.4024706793181209
5,0.4196398222522624
6,0.385165922969116
7,0.4050188298433955
8,0.41283871027758
9,0.443528715040844
10,0.4094123798739254
11,0.4190460351588677
12,0.4588302216213159
13,0.4454788440730521
14,0.447826342214914
15,0.45695782919649486
16,0.4444972487248152
