family,share_pct
SCHOOL AND OFFICE SUPPLIES,13.104184209438642
GROCERY II,10.22272723392907
LINGERIE,7.2853055984327675
CELEBRATION,5.08262691461545
MAGAZINES,4.738853895613025
HARDWARE,4.725860655264406
AUTOMOTIVE,4.542287598652393
LADIESWEAR,4.496407663417969
SEAFOOD,4.157674095464632
HOME AND KITCHEN I,4.047109867455392
PET SUPPLIES,3.802744014954277
BEAUTY,3.7462816333677136
"LIQUOR,WINE,BEER",3.687340563825208
HOME AND KITCHEN II,3.6589904795027137
PLAYERS AND ELECTRONICS,3.5734496979477903
LAWN AND GARDEN,3.2280397737491073
CLEANING,2.087593583798471
HOME APPLIANCES,1.6630647864774621
EGGS,1.5094835282367631
BABY CARE,1.3243428300886706
FROZEN FOODS,1.3109305086120095
PREPARED FOODS,1.25847240738826
HOME CARE,1.0472643323179112
BEVERAGES,0.9583282191273662
PERSONAL CARE,0.8777693777441251
MEATS,0.7463412249809821
POULTRY,0.7100997831531982
BREAD/BAKERY,0.6029696340439286
DELI,0.5551721582920319
GROCERY I,0.4512000106487844
PRODUCE,0.34666975610852646
DAIRY,0.3408879971341016
BOOKS,0.1095259662168414
