fold,model,rmsle,seconds
2017-06-29,zero,4.420193574008207,0.408959125
2017-06-29,last_value,0.6050710460727473,0.3800308750000001
2017-06-29,seasonal_naive,0.5176185596076112,0.3878685830000004
2017-06-29,dow_mean_4w,0.41750375469380024,0.49317616700000055
2017-06-29,dow_mean_8w,0.40593134166712336,0.4249824579999997
2017-06-29,dow_mean_16w,0.4869812514012172,0.43841675
2017-06-29,direct_gbm,0.37260628365817955,393.535238917
2017-07-15,zero,4.4192886285496815,0.4389003329999923
2017-07-15,last_value,0.5880761015889432,0.40589650000003985
2017-07-15,seasonal_naive,0.5211689523141964,0.40998333300001377
2017-07-15,dow_mean_4w,0.4295381560418713,0.4058458749999545
2017-07-15,dow_mean_8w,0.41697248331691167,0.40896312500001386
2017-07-15,dow_mean_16w,0.46489120395889955,0.4777377499999602
2017-07-15,direct_gbm,0.3880843237534262,320.53379879199997
2017-07-31,zero,4.419499687191416,0.3968862499999659
2017-07-31,last_value,0.6594842004439206,0.36865095799998926
2017-07-31,seasonal_naive,0.6170404161294091,0.36894170799996573
2017-07-31,dow_mean_4w,0.5397718866987052,0.3795640410000942
2017-07-31,dow_mean_8w,0.5285925777274655,0.38050154200004727
2017-07-31,dow_mean_16w,0.5223644422121183,0.45229295800004365
2017-07-31,direct_gbm,0.41304828570698904,290.3785727909999
